Superficie (x,y)ini - (x,y)fin en metros TUNEL-CIRCULAR 300
150	N_topo segmentos :: T^0 + T^d = 0
0    	N_cont segmentos :: T^d = T^0; u^d = u^0
0    	N_vall segmentos :: T^d = 0
***** [topo] Tracciones nulas en medio estratificado ***** [normales hacia el aire]
1  1   <- escala:x escala:y
0  0   <- offset:x offset:y
1.0   <- [negativo invierte normal]
0.824770371148969	0.565467801802006	0.816969893010442	0.576680322114867 F
0.816969893010442	0.576680322114867	0.809016994374948	0.587785252292473 F
0.809016994374948	0.587785252292473	0.800913158999442	0.598780520509423 F
0.800913158999442	0.598780520509423	0.792659898800858	0.609664075399735 F
0.792659898800858	0.609664075399735	0.784258753574031	0.620433886439568 F
0.784258753574031	0.620433886439568	0.775711290704420	0.631087944326053 F
0.775711290704420	0.631087944326053	0.767019104875683	0.641624261352161 F
0.767019104875683	0.641624261352161	0.758183817772163	0.652040871777550 F
0.758183817772163	0.652040871777550	0.749207077776331	0.662335832195308 F
0.749207077776331	0.662335832195308	0.740090559661252	0.672507221894527 F
0.740090559661252	0.672507221894527	0.730835964278124	0.682553143218654 F
0.730835964278124	0.682553143218654	0.721445018238956	0.692471721919526 F
0.721445018238956	0.692471721919526	0.711919473594434	0.702261107507047 F
0.711919473594434	0.702261107507047	0.702261107507047	0.711919473594434 F
0.702261107507047	0.711919473594434	0.692471721919526	0.721445018238956 F
0.692471721919526	0.721445018238956	0.682553143218654	0.730835964278124 F
0.682553143218654	0.730835964278124	0.672507221894527	0.740090559661252 F
0.672507221894527	0.740090559661252	0.662335832195308	0.749207077776331 F
0.662335832195308	0.749207077776331	0.652040871777550	0.758183817772163 F
0.652040871777550	0.758183817772163	0.641624261352161	0.767019104875683 F
0.641624261352161	0.767019104875683	0.631087944326053	0.775711290704420 F
0.631087944326053	0.775711290704420	0.620433886439568	0.784258753574031 F
0.620433886439568	0.784258753574031	0.609664075399735	0.792659898800858 F
0.609664075399735	0.792659898800858	0.598780520509423	0.800913158999442 F
0.598780520509423	0.800913158999442	0.587785252292473	0.809016994374948 F
0.587785252292473	0.809016994374948	0.576680322114867	0.816969893010442 F
0.576680322114867	0.816969893010442	0.565467801802006	0.824770371148969 F
0.565467801802006	0.824770371148969	0.554149783252175	0.832416973470368 F
0.554149783252175	0.832416973470368	0.542728378046262	0.839908273362797 F
0.542728378046262	0.839908273362797	0.531205717053803	0.847242873188884 F
0.531205717053803	0.847242873188884	0.519583950035434	0.854419404546489 F
0.519583950035434	0.854419404546489	0.507865245241806	0.861436528524000 F
0.507865245241806	0.861436528524000	0.496051789009068	0.868292935950134 F
0.496051789009068	0.868292935950134	0.484145785350960	0.874987347638183 F
0.484145785350960	0.874987347638183	0.472149455547619	0.881518514624672 F
0.472149455547619	0.881518514624672	0.460065037731152	0.887885218402375 F
0.460065037731152	0.887885218402375	0.447894786468082	0.894086271147651 F
0.447894786468082	0.894086271147651	0.435640972338709	0.900120515942051 F
0.435640972338709	0.900120515942051	0.423305881513498	0.905986826988164 F
0.423305881513498	0.905986826988164	0.410891815326548	0.911684109819653 F
0.410891815326548	0.911684109819653	0.398401089846241	0.917211301505453 F
0.398401089846241	0.917211301505453	0.385836035443135	0.922567370848072 F
0.385836035443135	0.922567370848072	0.373198996355191	0.927751318575985 F
0.373198996355191	0.927751318575985	0.360492330250415	0.932762177530064 F
0.360492330250415	0.932762177530064	0.347718407786989	0.937599012844020 F
0.347718407786989	0.937599012844020	0.334879612170986	0.942260922118821 F
0.334879612170986	0.942260922118821	0.321978338711738	0.946747035591044 F
0.321978338711738	0.946747035591044	0.309016994374947	0.951056516295154 F
0.309016994374947	0.951056516295154	0.295997997333623	0.955188560219648 F
0.295997997333623	0.955188560219648	0.282923776516930	0.959142396457063 F
0.282923776516930	0.959142396457063	0.269796771157024	0.962917287347799 F
0.269796771157024	0.962917287347799	0.256619430333974	0.966512528617745 F
0.256619430333974	0.966512528617745	0.243394212518836	0.969927449509671 F
0.243394212518836	0.969927449509671	0.230123585114986	0.973161412908375 F
0.230123585114986	0.973161412908375	0.216810023997781	0.976213815459545 F
0.216810023997781	0.976213815459545	0.203456013052634	0.979084087682323 F
0.203456013052634	0.979084087682323	0.190064043711607	0.981771694075559 F
0.190064043711607	0.981771694075559	0.176636614488587	0.984276133217712 F
0.176636614488587	0.984276133217712	0.163176230513142	0.986596937860402 F
0.163176230513142	0.986596937860402	0.149685403063144	0.988733675015585 F
0.149685403063144	0.988733675015585	0.136166649096247	0.990685946036331 F
0.136166649096247	0.990685946036331	0.122622490780298	0.992453386691202 F
0.122622490780298	0.992453386691202	0.109055455022790	0.994035667232204 F
0.109055455022790	0.994035667232204	0.0954680729994102	0.995432492456309 F
0.0954680729994102	0.995432492456309	0.0818628796818132	0.996643601760530 F
0.0818628796818132	0.996643601760530	0.0682424133646710	0.997668769190539 F
0.0682424133646710	0.997668769190539	0.0546092151921100	0.998507803482828 F
0.0546092151921100	0.998507803482828	0.0409658286836142	0.999160548100387 F
0.0409658286836142	0.999160548100387	0.0273147992594858	0.999626881261911 F
0.0273147992594858	0.999626881261911	0.0136586737659512	0.999906715964522 F
0.0136586737659512	0.999906715964522	6.12323399573677e-17	1 F
6.12323399573677e-17	1	-0.0136586737659511	0.999906715964522 F
-0.0136586737659511	0.999906715964522	-0.0273147992594859	0.999626881261911 F
-0.0273147992594859	0.999626881261911	-0.0409658286836143	0.999160548100387 F
-0.0409658286836143	0.999160548100387	-0.0546092151921099	0.998507803482828 F
-0.0546092151921099	0.998507803482828	-0.0682424133646709	0.997668769190539 F
-0.0682424133646709	0.997668769190539	-0.0818628796818131	0.996643601760530 F
-0.0818628796818131	0.996643601760530	-0.0954680729994101	0.995432492456309 F
-0.0954680729994101	0.995432492456309	-0.109055455022790	0.994035667232204 F
-0.109055455022790	0.994035667232204	-0.122622490780299	0.992453386691202 F
-0.122622490780299	0.992453386691202	-0.136166649096246	0.990685946036331 F
-0.136166649096246	0.990685946036331	-0.149685403063144	0.988733675015585 F
-0.149685403063144	0.988733675015585	-0.163176230513142	0.986596937860402 F
-0.163176230513142	0.986596937860402	-0.176636614488587	0.984276133217712 F
-0.176636614488587	0.984276133217712	-0.190064043711607	0.981771694075559 F
-0.190064043711607	0.981771694075559	-0.203456013052634	0.979084087682323 F
-0.203456013052634	0.979084087682323	-0.216810023997781	0.976213815459545 F
-0.216810023997781	0.976213815459545	-0.230123585114987	0.973161412908375 F
-0.230123585114987	0.973161412908375	-0.243394212518836	0.969927449509671 F
-0.243394212518836	0.969927449509671	-0.256619430333974	0.966512528617745 F
-0.256619430333974	0.966512528617745	-0.269796771157024	0.962917287347799 F
-0.269796771157024	0.962917287347799	-0.282923776516930	0.959142396457063 F
-0.282923776516930	0.959142396457063	-0.295997997333624	0.955188560219648 F
-0.295997997333624	0.955188560219648	-0.309016994374948	0.951056516295154 F
-0.309016994374948	0.951056516295154	-0.321978338711738	0.946747035591044 F
-0.321978338711738	0.946747035591044	-0.334879612170986	0.942260922118821 F
-0.334879612170986	0.942260922118821	-0.347718407786989	0.937599012844020 F
-0.347718407786989	0.937599012844020	-0.360492330250415	0.932762177530064 F
-0.360492330250415	0.932762177530064	-0.373198996355192	0.927751318575985 F
-0.373198996355192	0.927751318575985	-0.385836035443135	0.922567370848072 F
-0.385836035443135	0.922567370848072	-0.398401089846241	0.917211301505453 F
-0.398401089846241	0.917211301505453	-0.410891815326548	0.911684109819653 F
-0.410891815326548	0.911684109819653	-0.423305881513498	0.905986826988164 F
-0.423305881513498	0.905986826988164	-0.435640972338709	0.900120515942051 F
-0.435640972338709	0.900120515942051	-0.447894786468082	0.894086271147651 F
-0.447894786468082	0.894086271147651	-0.460065037731152	0.887885218402375 F
-0.460065037731152	0.887885218402375	-0.472149455547619	0.881518514624672 F
-0.472149455547619	0.881518514624672	-0.484145785350961	0.874987347638183 F
-0.484145785350961	0.874987347638183	-0.496051789009068	0.868292935950134 F
-0.496051789009068	0.868292935950134	-0.507865245241806	0.861436528524000 F
-0.507865245241806	0.861436528524000	-0.519583950035434	0.854419404546489 F
-0.519583950035434	0.854419404546489	-0.531205717053803	0.847242873188884 F
-0.531205717053803	0.847242873188884	-0.542728378046262	0.839908273362797 F
-0.542728378046262	0.839908273362797	-0.554149783252175	0.832416973470368 F
-0.554149783252175	0.832416973470368	-0.565467801802006	0.824770371148969 F
-0.565467801802006	0.824770371148969	-0.576680322114867	0.816969893010442 F
-0.576680322114867	0.816969893010442	-0.587785252292473	0.809016994374948 F
-0.587785252292473	0.809016994374948	-0.598780520509423	0.800913158999442 F
-0.598780520509423	0.800913158999442	-0.609664075399735	0.792659898800858 F
-0.609664075399735	0.792659898800858	-0.620433886439568	0.784258753574031 F
